Date,U.S. Field Production of Crude Oil (1k Bar.),Product Supplied of Crude Oil and Petroleum Products (1k Bar.),Gross Inputs to Refineries (1k Bar./Day),Operable Crude Oil Distillation Capacity (1k Bar./Calendar Day),Operating Crude Oil Distillation Capacity (1k Bar./Day),Idle Crude Oil Distillation Capacity (1k Bar./Day),Percent Utilization of Refinery Operable Capacity,"Cushing, OK Crude Oil Future Contract ($/Bar.)","Cushing, OK WTI Spot Price FOB ($/Bar.)"
Sep-1994,198264,524709,14360,15207,15081,126,94.4,17.5,17.4
Sep-1995,192484,540776,14592,15272,15154,118,95.6,18.2,18.2
Sep-1996,194456,529637,14637,15259,15121,138,95.9,23.9,24
Sep-1997,194575,556849,15533,15602,15464,139,99.6,19.8,19.8
Sep-1998,173676,566848,15040,15828,15699,129,95,15,15
Sep-1999,174113,584477,15353,16317,16164,153,94.1,23.8,23.8
Sep-2000,172731,596968,15582,16549,16350,199,94.2,33.9,33.9
Sep-2001,171270,570485,15230,16510,16197,313,92.2,25.8,26.2
Sep-2002,162336,583828,15149,16764,16528,236,90.4,29.7,29.7
Sep-2003,168270,597976,15590,16747,16697,49,93.1,28.3,28.3
Sep-2004,152444,615858,15302,16978,16904,74,90.1,45.9,45.9
Sep-2005,126417,604247,14396,17230,16245,984,83.6,65.6,65.6
Sep-2006,150926,616765,16177,17393,17126,267,93,63.9,63.8
Sep-2007,147061,612438,15513,17448,17041,407,88.9,79.6,79.9
Sep-2008,119208,535165,13139,17610,14959,2651,74.6,103.8,104.1
Sep-2009,166765,557833,15017,17681,17152,529,84.9,69.5,69.4
Sep-2010,168473,583937,15213,17594,16966,628,86.5,75.5,75.2
Sep-2011,168411,566597,15735,17736,17208,529,88.7,85.6,85.5
Sep-2012,197923,542427,15248,17400,15917,1483,87.6,94.6,94.5
Sep-2013,235183,578447,16157,17820,17625,195,90.7,106.2,106.3
Sep-2014,272571,576110,16358,17835,17678,157,91.7,93,93.2
Sep-2015,284398,583075,16427,18138,18028,110,90.6,45.5,45.5
Sep-2016,256249,593243,16687,18456,18326,130,90.4,45.2,45.2
Sep-2017,285487,588882,15788,18496,15927,2569,85.4,49.9,49.8
Sep-2018,342660,602523,17383,18601,18526,75,93.5,70.1,70.2
Sep-2019,377169,607454,16728,18808,18363,445,88.9,57,56.9
Sep-2020,326042,552445,14138,18386,17103,1283,76.9,39.6,39.6
Sep-2021,324654,606706,15797,18130,15800,2331,87.1,71.5,71.6
