Date,Product Supplied of Crude Oil and Petroleum Products (1k Bar.)
Apr-2008,594449.0
May-2008,613723.0
Jun-2008,590342.0
Jul-2008,606254.0
Aug-2008,597441.0
Sep-2008,535165.0
Oct-2008,610647.0
Nov-2008,571573.0
Dec-2008,593409.0
Jan-2009,590234.0
Feb-2009,527011.0
Mar-2009,580286.0
Apr-2009,560172.0
May-2009,564542.0
Jun-2009,564829.0
Jul-2009,577412.0
Aug-2009,587432.0
Sep-2009,557833.0
Oct-2009,582888.0
Nov-2009,562590.0
Dec-2009,596333.0
Jan-2010,578132.0
Feb-2010,527273.0
Mar-2010,591487.0
Apr-2010,571989.0
May-2010,585109.0
Jun-2010,586854.0
Jul-2010,598019.0
Aug-2010,609559.0
Sep-2010,583937.0
Oct-2010,586761.0
Nov-2010,568963.0
Dec-2010,611718.0
Jan-2011,586949.0
Feb-2011,526890.0
Mar-2011,594866.0
Apr-2011,557445.0
May-2011,571295.0
Jun-2011,575614.0
Jul-2011,580019.0
Aug-2011,600253.0
Sep-2011,566597.0
Oct-2011,583322.0
Nov-2011,571763.0
Dec-2011,581847.0
Jan-2012,567256.0
Feb-2012,540040.0
Mar-2012,562017.0
Apr-2012,544879.0
May-2012,575812.0
Jun-2012,566197.0
Jul-2012,574746.0
Aug-2012,593330.0
Sep-2012,542427.0
Oct-2012,579946.0
Nov-2012,555853.0
Dec-2012,562037.0
Jan-2013,580809.0
Feb-2013,522308.0
Mar-2013,574970.0
Apr-2013,557828.0
May-2013,580719.0
Jun-2013,564479.0
Jul-2013,597058.0
Aug-2013,593334.0
Sep-2013,578447.0
Oct-2013,599006.0
Nov-2013,584641.0
Dec-2013,589181.0
Jan-2014,592179.0
Feb-2014,529329.0
Mar-2014,572013.0
Apr-2014,565032.0
May-2014,576636.0
Jun-2014,566345.0
Jul-2014,596659.0
Aug-2014,600526.0
Sep-2014,576110.0
Oct-2014,610719.0
Nov-2014,581811.0
Dec-2014,604310.0
Jan-2015,597459.0
Feb-2015,550869.0
Mar-2015,599815.0
Apr-2015,577827.0
May-2015,598991.0
Jun-2015,595390.0
Jul-2015,623682.0
Aug-2015,617749.0
Sep-2015,583075.0
Oct-2015,603560.0
Nov-2015,573163.0
Dec-2015,607466.0
Jan-2016,590952.0
Feb-2016,575396.0
Mar-2016,612347.0
Apr-2016,580388.0
May-2016,599120.0
Jun-2016,594972.0
Jul-2016,612364.0
Aug-2016,628109.0
Sep-2016,593243.0
Oct-2016,610208.0
Nov-2016,590579.0
Dec-2016,619556.0
Jan-2017,597976.0
Feb-2017,536096.0
Mar-2017,621782.0
Apr-2017,588635.0
May-2017,621449.0
Jun-2017,616953.0
Jul-2017,623884.0
Aug-2017,628494.0
Sep-2017,588882.0
Oct-2017,619097.0
Nov-2017,609308.0
Dec-2017,629896.0
Jan-2018,637495.0
Feb-2018,551408.0
Mar-2018,642668.0
Apr-2018,601151.0
May-2018,627787.0
Jun-2018,623108.0
Jul-2018,640813.0
Aug-2018,662039.0
Sep-2018,602523.0
Oct-2018,644360.0
Nov-2018,623226.0
Dec-2018,630152.0
Jan-2019,639064.0
Feb-2019,567948.0
Mar-2019,625463.0
Apr-2019,609978.0
May-2019,632000.0
Jun-2019,619619.0
Jul-2019,642772.0
Aug-2019,655895.0
Sep-2019,607454.0
Oct-2019,642134.0
Nov-2019,622085.0
Dec-2019,633729.0
Jan-2020,617935.0
Feb-2020,583835.0
Mar-2020,572348.0
Apr-2020,436455.0
May-2020,498424.0
Jun-2020,527342.0
Jul-2020,569813.0
Aug-2020,575294.0
Sep-2020,552445.0
Oct-2020,577023.0
Nov-2020,562276.0
Dec-2020,582852.0
Jan-2021,576457.0
Feb-2021,488438.0
Mar-2021,595319.0
Apr-2021,583781.0
May-2021,622903.0
Jun-2021,616115.0
Jul-2021,616714.0
Aug-2021,635828.0
Sep-2021,606706.0
Oct-2021,616639.0
