Date,"Cushing, OK Crude Oil Future Contract ($/Bar.)",U.S. Field Production of Crude Oil (1k Bar.),Product Supplied of Crude Oil and Petroleum Products (1k Bar.),Gross Inputs to Refineries (1k Bar./Day),Operable Crude Oil Distillation Capacity (1k Bar./Calendar Day),Operating Crude Oil Distillation Capacity (1k Bar./Day),Idle Crude Oil Distillation Capacity (1k Bar./Day),Percent Utilization of Refinery Operable Capacity,"Cushing, OK WTI Spot Price FOB ($/Bar.)"
3/1/1995,18.6,204613,542000,13383,15440,15278,162,86.7,18.5
4/1/1995,19.9,198111,514265,13974,15440,15123,318,90.5,19.9
5/1/1995,19.7,205509,536097,14457,15385,15158,227,94,19.7
6/1/1995,18.4,197359,543919,14714,15385,15213,172,95.6,18.4
7/1/1995,17.3,199912,531547,14461,15376,15042,334,94,17.3
8/1/1995,17.8,199846,559362,14473,15393,15236,157,94,18
9/1/1995,18.2,192484,540776,14592,15272,15154,118,95.6,18.2
10/1/1995,17.4,199055,547183,13748,15191,15033,158,90.5,17.4
11/1/1995,18,197559,539379,14002,15196,15022,174,92.1,18
12/1/1995,19,202428,569360,14196,15210,14949,261,93.3,19
1/1/1996,18.8,201354,566079,13894,15333,15083,251,90.6,18.9
2/1/1996,18.8,190727,539974,13679,15164,14903,261,90.2,19.1
3/1/1996,21.2,203715,567321,13941,15186,14950,236,91.8,21.3
4/1/1996,23.3,193317,536547,14432,15186,15044,141,95,23.5
5/1/1996,21.1,198208,556654,14538,15182,15037,145,95.8,21.2
6/1/1996,20.4,193746,543207,14681,15224,15073,152,96.4,20.4
7/1/1996,21.3,196471,564533,14478,15249,15112,138,94.9,21.3
8/1/1996,21.9,197162,578396,14538,15306,15168,138,95,21.9
9/1/1996,23.9,194456,529637,14637,15259,15121,138,95.9,24
10/1/1996,24.9,200907,594302,14442,15259,15109,149,94.6,24.9
11/1/1996,23.6,194268,556054,14379,15259,15121,138,94.2,23.7
12/1/1996,25.1,201685,568355,14391,15259,15069,189,94.3,25.2
1/1/1997,25.2,198466,575184,13771,15452,15168,284,89.1,25.1
2/1/1997,22.2,182400,515145,13601,15452,15205,247,88,22.2
3/1/1997,21,200013,553739,14156,15632,15233,399,90.6,21
4/1/1997,19.7,193239,556769,14465,15616,15229,387,92.6,19.7
5/1/1997,20.9,200702,567078,15232,15616,15449,167,97.5,20.8
6/1/1997,19.2,193252,558515,15300,15638,15461,177,97.8,19.3
7/1/1997,19.7,198691,592306,15190,15639,15462,177,97.1,19.7
8/1/1997,19.9,196769,575517,15465,15641,15452,189,98.9,20
9/1/1997,19.8,194575,556849,15533,15602,15464,139,99.6,19.8
10/1/1997,21.3,200482,591200,15127,15602,15464,139,97,21.3
11/1/1997,20.2,193778,557349,14939,15602,15452,150,95.8,20.2
12/1/1997,18.3,202464,596759,15188,15628,15424,204,97.2,18.3
1/1/1998,16.7,202756,569212,14661,15711,15538,173,93.3,16.7
2/1/1998,16.1,181321,512856,14262,15716,15558,158,90.7,16.1
3/1/1998,15,198639,579239,14901,15735,15550,184,94.7,15.1
4/1/1998,15.5,194483,571320,15301,15692,15547,144,97.5,15.4
5/1/1998,14.9,196754,569624,15464,15708,15573,135,98.4,14.9
6/1/1998,13.7,188018,575446,15671,15821,15686,135,99.1,13.7
7/1/1998,14.1,192026,603451,15705,15826,15691,135,99.2,14.2
8/1/1998,13.4,192282,599748,15806,15828,15685,143,99.9,13.5
9/1/1998,15,173676,566848,15040,15828,15699,129,95,15
10/1/1998,14.4,190420,594824,14222,15880,15343,537,89.6,14.5
11/1/1998,13,184198,560190,15095,15927,15478,449,94.8,13
12/1/1998,11.3,187347,601998,15169,15951,15797,154,95.1,11.3
1/1/1999,12.5,184864,589894,14694,16261,16061,200,90.4,12.5
2/1/1999,12,167034,534991,14623,16245,16019,226,90,12
3/1/1999,14.7,182362,604395,14783,16256,16125,131,90.9,14.7
4/1/1999,17.3,176616,574548,15386,16258,16126,132,94.6,17.3
5/1/1999,17.8,182122,579867,15282,16271,15984,288,93.9,17.7
6/1/1999,17.9,172808,595094,15210,16276,16137,139,93.5,17.9
7/1/1999,20.1,179738,614423,15454,16287,16134,153,94.9,20.1
